S0012_LD_013_A	1	1
S0012_LD_013_B	1	2
S0012_LD_013_C	1	4
S0012_LD_013_D	1	8
S0008_LD_009_A	1	1
S0008_LD_009_B	1	2
S0008_LD_009_C	1	4
S0008_LD_009_D	1	8
S0010_LD_011_A	1	1
S0010_LD_011_B	1	2
S0010_LD_011_C	1	4
S0010_LD_011_D	1	8
S0014_LD_015_A	1	1
S0014_LD_015_B	1	2
S0014_LD_015_C	1	4
S0014_LD_015_D	1	8
S0011_LD_012_A	1	1
S0011_LD_012_B	1	2
S0011_LD_012_C	1	4
S0011_LD_012_D	1	8
S0015_LD_016_A	1	1
S0015_LD_016_B	1	2
S0015_LD_016_C	1	4
S0015_LD_016_D	1	8
S0013_LD_014_A	1	1
S0013_LD_014_B	1	2
S0013_LD_014_C	1	4
S0013_LD_014_D	1	8
S0006_LD_006_A	1	1
S0006_LD_006_B	1	2
S0006_LD_006_C	1	4
S0006_LD_006_D	1	8
S0009_LD_010_A	1	1
S0009_LD_010_B	1	2
S0009_LD_010_C	1	4
S0009_LD_010_D	1	8
S0004_LD_003_A	1	1
S0004_LD_003_B	1	2
S0004_LD_003_C	1	4
S0004_LD_003_D	1	8
S0007_LD_007_A	1	1
S0007_LD_007_B	1	2
S0007_LD_007_C	1	4
S0007_LD_007_D	1	8
